X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid,a_cargo_de,sentido,ubicacion,telefono_peaje,telefono_grua,eje_adicional,eje_adicional_r,eje_grua,cat_e_ie,cat_8,cat_9,cat_ie_10,cat_iee,cat_ieee,cat_iia,cat_eae,cat_ec,cat_e,cat_ie,cat_iie,cat_iiie,cat_ive,cat_ve,cat_vie,cat_viie,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,d_cat_ie10,d_cat_iee,d_cat_ieee,d_cat_iia,d_cat_eg,d_cat_ear,d_cat_ea,d_cat_eae,d_cat_ec,d_cat_e,d_cat_ie,d_cat_iie,d_cat_iiie,d_cat_ive,d_cat_ve,d_cat_vie,d_cat_viie
-8157318.52428888,630748.428866074,3813,5502,11,1055,TUTA,CONCESION ANI,BOYACÁ,131,-73.27835861,8000,14150,16650,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Tunja - Duitama,4350,11400,2,Concesión Briceño - Tunja - Sogamoso,Ambos sentidos de circulación,Via Tunja – Paipa Km 12+200 Jurisdiccion Combita,3174340959,3174422284,8200,6800,5700,4200,0,0,0,0,0,0,0,0,3000,3100,4300,4500,0,0,0,0,"Automóviles, Camperos y Camionetas","Buses, Busetas y  Camiones de 2 ejes",Camiones de tres y cuatro ejes,Vehículos de carga de cinco (5) ejes,Vehículos de carga de seis (6) ejes, , , , , , , , ,Eje grúa,Eje adicional remolque,Eje adicional, , ,CAT ESPECIAL,CAT ESPECIAL IE,CAT ESPECIAL IIE, , , , , 
-8336670.81234208,1233547.02037707,3855,90A01,103,788,PAPIROS,CONCESION ANI,ATLANTICO,87,-74.88958005,5900,25900,82500,110500,122700,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cartagena - Lomita Arena,7000,14700,2,Concesión Costera - Barranquilla - Cartagena,Sentido Occidente Oriente,Vía al mar Km 101,3173317167,018000977330 - 3114803629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Autos,Buses,Camiones  2 ejes Pequeños,Camiones  2 ejes Grandes,Camiones  3 y 4 Ejes,5 Ejes,6 Ejes, , , , , , , , , , , , , , , , , , , 
-8378382.41055531,1134281.26295158,3917,9005,61,583,GAMBOTE,CONCESION ANI,BOLÍVAR,52,-75.26428976,8000,26400,30200,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cruz del Viso - Cartagena,8900,19800,2,Ruta Caribe,Ambos sentidos de circulación,Km 61+400 Ruta 9005 Troncal de Occidente,3212057230,3212057227,8700,8400,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 y 4 Ejes,5 Ejes, , , , , , , , ,Eje grúa,Eje remolque,Eje adicional, , , , , , , , , , 
-8426951.43689974,238603.734488149,3816,4504,497,60,ALTAMIRA,CONCESION ANI,HUILA,4,-75.70075507,8500,24800,27900,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/altamira.jpg,Pitalito - Garzón,9300,19500,2,Concesión Rodovias Colombia S.A.S,Aplica en ambos sentidos de circulación,Vía Pitalito – Garzon Km 60+500 Jurisdicción Municipio de Altamira (Llano de la Virgen),320 995 5541,311 260 50 25  - #296,8700,8400,6400,2400,0,0,0,0,0,0,0,6700,0,2500,5400,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, , , ,Categoría IE, , , , , , 
-8396123.58470846,713460.061127831,3878,0,0,0,CABILDO,DEPARTAMENTO,ANTIOQUIA,6.39576885,-75.42355837,9200,15900,26100,34900,39000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Girardota - Hatillo,10200,11100,3, , , ,2892224 - 3108992859,01-8000-522-44-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 Ejes pequeños,Camiones y Buses 2 Ejes grandes,3 y 4 ejes,5 ejes,6 ejes,VII, , , , , , , , , , , , , , , , , , , 
-8511774.43807431,396260.791883258,5604,2301,0,0,CENCAR,INVIAS,VALLE DEL CAUCA,20,1,9000,38300,44100,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5604.pdf,Cali - Yumbo,10900,29400,5,INVIAS,Sur - Norte // Norte - Sur,Vía Yumbo – Aeropuerto Km 2+950,No cuenta con número,No cuenta con servicio,10700,21200,6600,4600,,,,,,,,6600,,,4900,,,,,,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,,,,,Eje Grúa,Eje Adicional Remolque,Eje Adicional,,Eje Cañero,,CAT IE,CAT IIE,,,,,
-8603265.89141249,158697.417260253,3862,2502,36,0,CANO,INVIAS,NARIÑO,16,1,10600,0,0,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3862.pdf,San Juan de Pasto - Cano,11300,0,5,INVIAS,Norte – Sur,Vía Pasto – Mojarras Km 36 Jurisdicción del municipio de Chachagui,No tiene,No cuenta con servicio,,9800,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y camperos,Categoría II Camiones y buses 2 ejes pequeños, , , , , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , , , , , , , , 
-8227938.34755303,568971.692870677,3990,45A04,40,0,CASABLANCA,INVIAS,CUNDINAMARCA,18,1,8600,30100,35200,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3990.pdf,Bogotá - Ubaté,9300,24200,5,INVIAS,Sur – Norte // Norte – Sur,Cogua – Tausa Km 40+000,No tiene,No hay,10200,10000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional, , , , , , , , , , 
-8203361.38588901,930476.385134202,3890,7006,2,800,GAMARRA,INVIAS,CESAR,51,1,8300,25100,28800,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3890.pdf,Gamarra - Aguachica,9300,19800,5,INVIAS, , ,No tiene servicio,No tiene servicio,9000,8700,600,200,0,0,0,0,0,0,0,0,0,200,200,9900,12600,14300,0,0,"Automóviles, camperos, camionetas",Buses,Camiones de dos ejes pequeños,Camiones de dos ejes grandes,Camiones de tres y cuatro ejes,Camiones de cinco ejes,Camiones de seis ejes, , , , , , , , , , , , , , , , , , , 
-8511228.92381148,404092.452314775,5205,23VL02,26,221,PASO DE LA TORRE,INVIAS,VALLE DEL CAUCA,89,1,9000,38300,44100,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5205.pdf,Paso de La Torre - Siberia (Variante Yumbo),10900,29400,5,INVIAS,Sur - Norte,Vía Vijes – Rozo Km 1+500,No cuenta con número,No cuenta con servicio,10700,21200,6600,4100,,,,,,,,6200,,,4900,,,,,,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,,,,,,,,,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional,,Categoría Eje Cañero,,Categoría IE,Categoría IIE,,,,,
-8402271.68927446,688245.820984836,3879, ,0,0,VARIANTE LAS PALMAS,DEPARTAMENTO,ANTIOQUIA,6.17084869,-75.47870768,0,0,0,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Las Palmas - Aeropuerto,0,0,3,Concesión Túnel Aburrá-Oriente, , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8397491.49174703,1054598.49017997,3819,25SC01,15,402,LA ESPERANZA,CONCESION ANI,SUCRE,62,-75.43594955,8200,24300,27400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/la_esperanza.jpg,Sincelejo - Toluviejo,8900,19200,2,Concesión Autopistas de la Sabana Córdoba - Sucre,Aplica en ambos sentidos,Km 15+200 Vía Sincelejo – Toluviejo,3124964386,3184095455 – 3182406622,8700,8400,6400,0,0,0,0,0,0,0,0,0,2000,2100,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes, , , , , , , , ,Eje grúa,Eje remolque,Eje adicional, , ,Categoría Especial, , , , , , , 
-8313853.57349249,580004.504196435,3847,5008,7,975,BICENTENARIO,INVIAS,CUNDINAMARCA,12,1,9400,34800,40400,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3847.pdf,Honda - Villeta,12200,28700,5,INVIAS,Ambos sentido de circulación,Villeta - Honda - Guaduas,3232059073,No cuenta con servicio,9000,8700,6600,4500,0,0,0,0,0,0,0,0,0,4200,5700,0,0,0,0,0,Categoría I  Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 y 6 ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Remolque,Categoría Eje Adicional, , , ,Categoría IE,Categoría IIE, , , , , 
-8033844.52862074,484852.743211647,3859,4008,5,175,El YUCAO,CONCESION ANI,META,137,-72.16931981,4400,4800,19700,25000,28100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Puerto López - Puerto Gaitán,4800,4800,2,Concesión Autopistas de los Llanos,Oriente,Vía Puerto López - Puerto Gaitán Km.99+200,3102466052,018000918624 Operadores Claro - Movistar #765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,CAT VI,CAT VII, , , , , , , , , , , , , , , , , , , 
-8384578.90614924,1041973.40918553,3867,2515,5,858,LAS FLORES,CONCESION ANI,SUCRE,48,-75.31995382,4500,23600,27100,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Sincelejo - Puerta de Hierro,12000,18600,2,Concesión Autopistas de la Sabana Córdoba - Sucre,Nor Oriente,Vía Sincelejo – Carmen de Bolivar Km 05+600,3124964386,3184095455 – 3182406622,0,0,0,4700,0,0,0,0,0,0,0,0,2900,3000,4800,6300,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes,Camiones y Buses 2 ejes Grandes, , , , , , , , , , , , , ,ESPECIAL,ESPECIAL IE,ESPECIAL IIE, , , , , 
-8230527.19786106,539613.22797807,9606,50 CN 03,2,0,SOPÓ,CONCESION ANI,CUNDINAMARCA,0,0,9600,37600,51200,51600,0, ,Meusa,15100,25500,2,PERIMETRAL ORIENTAL DE BOGOTÁ S.A.S,Sur - Norte,El Salitre - Sopó,313 4609939,310 2399451 - #765,8700,8400,6400,,,,,,,,,,,,,,,,,,Categoría I,Categoría II,Categoría III,Categoría IV,Categoría V,Categoría VI,,,,,,,,Eje Grúa,Eje Adicional Remolque,Eje Adicional,,,,,,,,,,
-8465795.22717789,519927.601919068,3872,2302,106,0,EL TORO,INVIAS,VALLE DEL CAUCA,127,1,8700,25700,28900,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3872.pdf,Mediacanoa - Ansermanuevo,9400,20200,5,INVIAS, Sur - Norte // Norte - Sur,Vía Mediacanoa - Ansermanuevo Km 109,3102454238,No cuenta con servicio,9000,8700,6600,2500,0,0,0,0,0,0,0,7000,0,2300,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Categoría Eje Grúa,Categoría Eje Rmolque,Categoría Eje Adicional, ,Categoría Eje Cañero, ,CAT ESPECIAL IE, , , , , , 
-8491412.48495678,462280.708543763,3873,2302,13,600,RÍO FRÍO,INVIAS,VALLE DEL CAUCA,108,1,8700,25700,28900,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3873.pdf,Mediacanoa - Ansermanuevo,9400,20200,5,INVIAS,Norte – Sur  / Sur - Norte,Vía Mediacanoa - Ansermanuevo Km 13,3102454252,No cuenta con servicio,9000,8700,6600,0,0,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, ,Eje Cañero, , , , , , , , 
-8520038.86319458,300862.279965211,4805,2504,30,1053,TUNIA,INVIAS,CAUCA,129,1,9000,38300,44100,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4805.pdf,Popayán - Jamundí,10900,29400,5,INVIAS,Sur – Norte // Norte – Sur,Kilometro 31+100 Vía Panamericana Popayan – Cali,No cuenta con número,No cuenta con servicio,10700,21200,6600,4600,,,,,,,,6200,,,5500,,,,,,Categoría I Automóviles y camperos,Categoría II Camiones y buses 2 ejes pequeños,Categoría III Camiones y buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 ejes,,,,,,,,,Categoría Eje Grúa,Categoría Eje Adicional Remolque,Categoría Eje Adicional,,Categoría Eje Cañero,,Categoría Especial IE,Categoría Especial IIE,,,,,
-8393384.15174601,1103465.85609199,3820,9005,21,497,SAN ONOFRE,CONCESION ANI,SUCRE,117,-75.39905269,13100,19300,34900,34900,55600,http://hermes.invias.gov.co/carreteras/images/peajes/san_onofre.jpg,San Onofre - María La Baja,19300,19300,2,Concesión Ruta al Mar,Norte – Sur,Vía San Onofre – Cruz del Viso Km 21+400 metros,3104320955,3216177100,0,0,0,0,64100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Buses,Camiones y Buses 2 ejes Pequeños,Camiones y Buses 2 ejes Grandes,3 Ejes,4 Ejes,5 Ejes,6 Ejes, , , , , , , , , , , , , , , , , , 
-8415150.27968088,563139.197675735,3869,5005,9,177,SAN BERNARDO (TRINIDAD ll),CONCESION ANI,CALDAS,114,-75.59458114,10400,12600,30700,38400,44600,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Tres Puertas -La Manuela - Estación Uribe,12600,12600,2,CONCESIÓN AUTOPISTAS DEL CAFÉ,Ambos sentidos de circulación,Tres Puertas – Puente La Libertad Km. 9 + 200,(6) 3282720,3138176567 #850,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,3300,3700,3900,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 Ejes,Categoría V 5 Ejes,Categoría 6 Ejes,Categorí VII, , , , , , , , , , , , ,Categoría Especial IE,Categoría Especial IIE,Categoría Especial IIIE, , , , 
-8177973.17252654,451985.4091741,3922,4007,17,585,LA LIBERTAD,CONCESION ANI,META,64,-73.46328557,12700,30500,45400,59800,68500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Villavicencio - Paso por el Puente sobre el Río La Balsa -Puerto Lopez,25300,18300,2,Concesión Autopistas de los Llanos,Oriente,Vía Villavicencio – Puerto López Km 18+900,(8) 6700868 – 3115615494,3223472204 - #765,0,0,0,0,0,0,0,0,0,0,0,0,6100,6300,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 Ejes,5 Ejes,6 Ejes,CAT VII, , , , , , , , , , , ,CAT Especial, , , , , , , 
-8495810.17468758,413629.600824988,5605,2505,44,893,EL CERRITO,INVIAS,VALLE DEL CAUCA,21,1,9000,38300,44100,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5605.pdf,Cali - Palmira - Buga,10900,29400,5,INVIAS,Sur - Norte // Norte - Sur,Vía Cali - Andalucia Km 43+200,No cuenta con número,No cuenta con servicio,10700,21200,6600,,,,,,,,,6600,,,,,,,,,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,,,,,,,,,Eje Grúa,Eje Adicional Remolque,Eje Adicional,,Eje Cañero,,,,,,,,
-8400319.83536415,689254.149153739,3880,0,0,0,SANTA ELENA,DEPARTAMENTO,ANTIOQUIA,6.17976424,-75.46150462,10000,24900,27500,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Vía Antigua a Rionegro,12100,22100,3,Concesión Túnel Aburrá - Oriente  S.A,Ambos sentidos de circulación,"Km 21+500 , Vía Medellín - Ríonegro",(4) 4446178 - 2228085 - 4602225,(4) 4446178 - 2228085 - 4602225,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Automóviles , camperos y camionetas",Buses,Camiones pequeños de 2 Ejes,Camiones grandes de 2 Ejes,Camiones de 3 y 4 ejes, , , , , , , , , , ,Eje adicional, , , , , , , , , , 
-8405280.80917678,1162210.73895749,3881, ,0,0,CEBALLOS,DISTRITO,BOLÍVAR,10.38301611,-75.50592218,2500,9600,14800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Corredor de Carga,4100,0,4,CONVIAL,Ambos sentidos de circulación,Variante Mamonal - Gambote,(57) (5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8407576.70755061,1164900.83697562,3882, ,0,0,BAZURTO  (MANGA),CONVIAL,BOLÍVAR,10.40678505,-75.52654659,2300,9600,14800,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Calle 29,4100,0,4,CONVIAL,Ambos sentidos de circulación,Variante Mamonal - Gambote,(57)(5)6609002 - 6607822 - 6609125,(57) (5)6609002 - 6607822 - 6609125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8422418.99180838,674396.943807357,3822,6003,89,351,AMAGÁ,CONCESION ANI,ANTIOQUIA,7,-75.6598771,8600,24400,27400,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/amaga.jpg,La Mansa - Primavera,9000,19200,2,Concesión Vial del Pacífico,"Suroeste

Tramo que cubre: Bolombolo - Camilo C",Km. 89+396 Ruta Nacional 6003,3207103032,3207103032,8700,8400,6400,0,0,0,0,0,0,0,0,6700,0,0,4200,9500,0,0,0,0,"Automóviles, Camperos, Pick Up, Camioneta",Camiones y Buses 2 Ejes,Camiones y Buses 2 ejes grandes,3 y 4 ejes,Categoría V, , , , , , , , ,Eje Grúa,Eje Remolque,Eje Adicional, ,Eje Carreño, , ,Categoría IIE,Categoría IIIE, , , , 
-8269903.72370373,515654.52649748,3886, ,0,0,RAMAL,DEPARTAMENTO,CUNDINAMARCA,4.62733119,-74.28997543,11200,15600,44800,61600,70300,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Variante Soacha - La Mesa,13500,13500,3,CONCESIÓN DEVISAB,Occidente - Oriente // Oriente - Occidente,kilómetro 106 Via Mosquera - Ramal a Soacha,#815 Tigo – 018000953550,#815 Tigo – 018000953550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-8337635.18344354,1224666.38009464,10006,25AT04,24200,0,JUAN MINA,ANI,ATLÁNTICO,0,0,13000,24800,77600,103500,114800, ,Vía Juan Mina - Las Hermanas,19500,14100,2,Concesión Costera Barranquilla - Cartagena,Norte - Sur. Sur - Norte,Vía La Cordialidad - Galapa,018000977330,311 4803629,,,,,,,,,,,,,,,,,,,,,Autos,Buses,Camiones 2 ejes Pequeños,Camiones 2 ejes Grandes,Camiones 3 y 4 ejes,Camiones 5 ejes,Camiones 6 ejes,,,,,,,,,,,,,,,,,,,
-8182111.45656302,619651.127998521,3884,6008,50,200,SÁCHICA,INVIAS,BOYACA,113,1,8700,25700,28900,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3884.pdf,Sáchica - Tunja,9400,20200,5,INVIAS,Ambos sentidos de circulación,Vía Chiquinquirá Tunja km 42+800 Jurisdicción Sáchica,3102455356,No cuenta con servicio,9000,8700,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grúa,Eje adicional remolque,Eje Adicional, , , , , , , , , , 
-8502711.44143613,405905.486040152,6004,2505B,0,0,ROZO,INVIAS,VALLE DEL CAUCA,111,1,9000,38300,44100,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/6004.pdf,Palmaseca - El Cerrito,10900,29400,5,INVIAS,Norte – Sur,Vía Palmaseca - Cerrito Km 17,No cuenta con número,No cuenta con servicio,10700,21200,6600,4600,,,,,,,,6600,,,4900,,,,,,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,,,,,Eje Grúa,Eje Adicional Remolque,Eje Adicional,,Eje Cañero,,CAT IE,CAT IIE,,,,,
-8290649.82012383,510497.507666717,3888,4702,14,1007,SAN PEDRO,DEPARTAMENTO,CUNDINAMARCA,118,-74.48647417,10500,18200,39200,51000,58900,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,La Mesa - Anapoima,11700,13500,3,CONCESIÓN DEVISAB,Norte - Sur // Sur - Norte,Chía - La Mesa - Girardot Km.61 Jurisdicción del Municipio de la Mesa,#815 Tigo  018000953550,#815 Tigo  018000953550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI 6 Ejes,Categoría VII, , , , , , , , , , , , , , , , , , , 
-8271248.49198425,495218.966750713,3893, ,0,0,SAN MIGUEL,DEPARTAMENTO,CUNDINAMARCA,4.44416466,-74.30188939,0,0,0,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Fusagasugá - Sibaté,0,0,3, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8179491.23631117,646201.883166638,3896,6209,27,700,ARCABUCO,INVIAS,BOYACA,9,1,8700,25700,28900,0,0,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3896.pdf,Barbosa - Tunja,9400,20200,5,INVIAS,Ambos sentidos de circulación,Vía Barbosa – Tunja Km 27 +650 Jurisdicción Arcabuco,3205221387,No cuenta con servicio,9000,8700,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automóviles y Camperos,Camiones y Buses 2 ejes pequeños,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes, , , , , , , , ,Eje Grúa,Eje adicional remolque,Eje Adicional, , , , , , , , , , 
-8285083.10853782,546283.103249016,3898, ,0,0,JALISCO,DEPARTAMENTO,CUNDINAMARCA,59,-74.42616787,12400,19600,35300,45700,55000,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Sasaima - Albán,16800,14100,3,CONCESIÓN PANAMERICANA,Occidente - Oriente // Oriente - Occidente,Peaje Río Bogotá – Facatativá – Villeta – Vianí – Cambao Km 89+400 Jurisdicción del Municipio de Albán,3102576509  // 31*288,3102576509,0,0,0,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Categoría I Automóviles y Camperos,Categoría II Camiones y Buses 2 ejes pequeños,Categoría III Camiones y Buses 2 ejes grandes,Categoría IV 3 y 4 ejes,Categoría V 5 Ejes,Categoría VI6 Ejes,Categoría VII, , , , , , , , , , , , ,Categoría IE, , , , , , 
-8415683.2208525,706292.06134642,3899, ,0,0,PAJARITO,DEPARTAMENTO,ANTIOQUIA,6.33172769,-75.59937089,6000,18800,21600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Medellín - San Pedro,6800,0,3, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8405209.35876161,571332.642695987,3900, ,0,0,LA ESTRELLA,DEPARTAMENTO,CALDAS,5.12551851,-75.50528033,6100,22500,25300,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Manizales - Neira,7100,0,3, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8376016.85712707,683090.267503735,3861,6005,3,95,COCORNÁ,INVIAS,ANTIOQUIA,29,1,12800,21900,43900,62600,62600,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3861.pdf,El Santuario - Cruce Ruta 45 (Caño Alegre),20100,17600,5,INVIAS,Sur – Norte,KM 03+100 RUTA 6005 Via Santuario - Puerto Triunfo,No cuenta con número,(322 384 5814) este número también sirve para solicitar ambulancia,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,0,0,"Categoria I (Automóviles, camperos y camionetas)",Categoría II Buses,Categoría III - Camiones pequeños de 2 ejes,Categoría III - Camiones grandes de 2 ejes,Categoría V - Camiones de 3 y 4 ejes,Categoría VI - Camiones de 5 ejes,Categoría VII - Camiones de 6 ejes, , , , , , , , , , , , ,Categoría IE, , , , , , 
-8410785.81247287,567838.087251427,3933, ,0,0,QUIEBRA DE VELEZ,DEPARTAMENTO,CALDAS,5.09425115,-75.55537447,3100,33000,37600,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Tres Puertas - Quiebra de Vélez - Manizales,9600,0,3, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
-8050834.43636227,1300959.44684733,3894, ,0,0,URIBIA,MUNICIPIO,GUAJIRA,11.60643229,-72.32193594,0,0,0,0,0,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cuatrovias - Uribia,0,0,6, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , 
